INST,INST_CORRECTED,UNIT,INST_SECONDARY,NOTES
University of Central ArKansas,University of Central Arkansas,,,
University of Chicago,,,,
University of Chile,,,,
University of Cincinnati,,,,
University of College,University College Dublin,,,
University of Colorado,University of Colorado Boulder,,,Except Nbarry Noon should be CSU
University of Colorado Boulder,,,,
University of Connecticut,,,,
University of Copenhagen,,,,
University of Delaware,,,,
University of East Anglia,,,,
University of Edinburgh,,,,
University of Exeter,,,,
University of Exeter Cornwall,,,,
University of Exeter Penryn,,,,
University of Florida,,,,
University of Freiburg,,,,
University of Fribourg,,,,
University of Georgia,,,,
University of Georgia Marine Institute,,,,
University of Ghent,,,,
University of Gottingen,,,,
University of Groningen,,,,
University of Guelph,,,,
University of Hamburg,,,,
University of Hawaii,University of Hawaii Manoa,,,
University of Hawaii Hilo,,,,
University of Hawaii Manoa,,,,
University of Helsinki,,,,
University of Hong Kong,,,,
University of Houston,,,,
University of ibadan,,,,
University of Idaho,,,,
University of Ife,,,,
University of Illinois,University of Illinois Urbana Champaign,,,need to 2x
University of Illinois Chicago,,,,
University of Illinois Urbana Champaign,,,,
University of Iowa,,,,
University of Joensuu,,,,
University of Jyvaskyla,,,,
University of Kaiserslautern,,,,
University of Kansas,,,,
University of Kentucky,,,,
University of KwaZulu Natal,,,,
University of Leeds,,,,
University of Leiden,,,,
University of Lethbridge,,,,
University of Leuven,,,,
University of Liverpool,,,,
University of Los Andes Bogota,,,,
University of Louisville,,,,
University of Lund,,,,
University of Maine,,,,
University of Manchester,,,,
University of Manitoba,,,,
University of Maryland,,,,
University of Massachusetts,University of Massachusetts Amherst,,,
University of Massachusetts Amherst,,,,
University of Massachusetts Boston,,,,
University of Melbourne,,,,
University of Miami,,,,
University of Michigan,,,,
University of Milano,,,,
University of Minnesota,University of Minnesota Twin Cities,,,MOST BUT NOT ALL twin Cities need to 2x
University of Minnesota Duluth,,,,
University of Mississippi,,,,
University of Missouri,University of Missouri Columbia,,,need to 2x
University of Missouri Columbia,,,,
University of Missouri St Louis,,,,
University of Montana,,,,
University of Natal,,,,
University of Natural Resources and Applied Life Sciences BOKU,University of Natural Resources and Life Sciences Vienna,,,BOKU
University of Nebraska,University of Nebraska Lincoln,,,
University of Nevada,University of Nevada Reno,,,
University of Nevada Las Vegas,,,,
University of Nevada Reno,,,,
University of New Brunswick,,,,
University of New England,,,,
University of New England Armidale,University of New England,,,
University of New Hampshire,,,,
University of New Mexico,,,,
University of New South Wales,,,,
University of North Carolina,University of North Carolina Chapel Hill,,,2x Pfenning city should be chapel hioll ll years and does he have two researcher iD's? also larry leamy UNC Charlotte
University of North Carolina Chapel Hill,,,,
University of North Carolina Greensboro,,,,
University of North Dakota,,,,
University of North Texas,,,,
University of Notre Dame,,,,
University of Nottingham,,,,
University of Oklahoma,,,,
University of Oldenberg,,,,
University of Orange Free State,,,,
University of Oregon,,,,
University of Oslo,,,,
University of Otago,,,,
University of Ottawa,,,,
University of Oulu,,,,
University of Oxford,,,,"ingrid parmentier should be Universite Libre de Bruxelles / Stephen Simp[son 21002 UK, Rosie Hails Centre of Ecology and Hydrology, Tmiohy Whitnore 1988 Oxford Forestry Institute"
University of Pavia,,,,
University of Pennsylvania,,,,
University of Peradeniya,,,,
University of Pittsburgh,,,,
University of Port Elizabeth,,,,
University of Puerto Rico,,,,
University of Quebec in Abitibi Temiscamingue,Universite du Quebec en Abitibi Temiscamingue,,,
University of Queensland,,,,
University of Regina,,,,
University of Rey Juan Carlos,,,,
University of Rhode Island,,,,
University of Rochester,,,,
University of Salento,,,,
University of Salzburg,,,,
University of Sao Paulo,Universidade de Sao Paulo,,,
University of Saskatchewan,,,,
University of Sheffield,,,,
University of Sherbrooke,Universite de Sherbrooke,,,
University of South Carolina Aiken,,,,
University of South Carolina Columbia,,,,
University of South Dakota,,,,
University of South Florida,,,,
University of Southampton,,,,
University of Southwestern Louisiana,,,,
University of St Andrews,,,,
University of Stellenbosch,,,,
University of Stirling,,,,
University of Strathclyde,,,,
University of Sussex,,,,
University of Sydney,,,,
University of T_bingen,University of Tubingen,,,
University of Tartu,,,,
University of Tennessee,,,,
University of Texas,University of Texas Austin,,,need to 2x
University of Texas Arlington,,,,
University of Texas at Austin,University of Texas Austin,,,
University of Texas Austin,,,,
University of Texas El Paso,,,,
University of Thessaloniki,,,,
University of Toronto,,,,most toronto but need to 2x at least 1 from other campus
University of Toronto Mississauga,,,,
University of Toulouse,,,,
University of Trieste,,,,
University of Tromso,,,,
University of Tulsa,,,,
University of Turku,,,,
University of Ulm,,,,
University of Umea,,,,
University of University Amsterdam,University of Amsterdam,,,
University of Uppsala,Uppsala University,,,
University of Urbino,,,,
University of Utah,,,,
University of Utrecht,,,,
University of Vermont,,,,
University of Veterinary Medicine,2x claudia bieber. CVM is in austria but country is australia,,,
University of Victoria,,,,
University of Vienna,,,,
University of Vigo,,,,
University of Virginia,,,,
University of Waikato,,,,
University of Wales,,,,
University of Washington,,,,
University of Western Australia,,,,
University of Western Ontario,,,,
University of Windsor,,,,
University of Wisconsin,,,,
University of Wisconsin Madison,,,,
University of Wisconsin Milwaukee,,,,
University of Wisconsin Parkside,,,,
University of Wisconsin River Falls,,,,
University of Wollongong,,,,
University of Wurzburg,,,,
University of Wyoming,,,,
University of York,,,,
University of Zurich,,,,
University of Zurich Irchel,,,,
University Paris Sud 11,Universite Paris Sud,,,
Universit¸æå£†º Montpellier II,Universite Montpellier II,,,
Universit¸æçÉ†ºt Z¸æåì†ºrich Irchel,University of Zurich Irchel,,,
UNL,University of Nebraska Lincoln,,,
Uppsala University,,,,
UPV,Universitat Politecnica de Valencia,,,
US Arid Land Agricultural Research Center,US Department of Agriculture,Arid Land Agricultural Research Center,,
US Army,US Army Engineer Research and Development Center ,Construction Engineering Research Laboratory,,
US Department of Agriculture,,,,
US Environmental Protection Agency,,,,
US Fish and Wildlife Service,,,,
US Fish and Wildlife Service National Wetlands Research Center,US Fish and Wildlife Service,National Wetlands Research Center,,
US Forest Service,,,,
US Forest Service Pacific Southwest Research Station,US Forest Service,Pacific Southwest Research Station,,
US Forest Service Rocky Mountain Research Station,US Forest Service,Rocky Mountain Research Station,,
US Forest Service Southern Research Station,US Forest Service,Southern Research Station,,
US Forest Service USDA,US Forest Service,,,
US Geological Society,US Geological Survey,,,
US Geological Survey,,,,
US Geological Survey Patuxent Wildlife Research Center,US Geological Survey,Patuxent Wildlife Research Center,,
US Geological Survey Western Ecological Research Center,US Geological Survey,Western Ecological Research Center,,
US Geological Survey/NRII,US Geological Survey,NRII,,2x NRII
US Naval Research Laboratory,,,,
USDA Agricultural Research Service,US Department of Agriculture,Agricultural Research Service,,
USDA ARS,US Department of Agriculture,Agricultural Research Service,,
USU,,,,
Utah State University,,,,
Vanderbilt University,,,,
Vegetation Survey of Western Australia,,,,2x ythat shouldn’t be Univ of Western Australia
Venezuelan Institute for Scientific Investigation,Instituto Venezolano Investigaciones Cientificas,,,
versity of Tennessee,University of Tennessee,,,
Victoria University of Wellington,,,,
Villanova University,,,,
Virginia Commonwealth University,,,,
Virginia Polytechnic Institute and State University,,,,
Vrije Universiteit,Vrije Universiteit Amsterdam,,,
Vrije Universiteit Amsterdam,,,,
Wageningen Agricultural University,Wageningen University and Research,,,
Wageningen University,Wageningen University and Research,,,
Wageningen University and Research Centre,Wageningen University and Research,,,
Wageningen University Research Center Alterra,Wageningen University and Research,Wageningen Environmental Research Alterra,,
Waikato University,,,,
Wake Forest University,,,,
Washington and Lee University,,,,
Washington State University,,,,
Washington State Univesrity,Washington State University,,,
Washington State Unviersity,Washington State University,,,
Washington University,,,,2x ted case 2003 am nat not WashU
Wayne State University,,,,
Wesleyan University,,,,
West Virginia University,,,,
Western Cotton Research Lab,US Department of Agriculture,Western Cotton Research Lab,,
Western Michigan University,,,,
Western Washington University,,,,
Wilderness Society,,,,
Wildlife Conservation Society,,,,
Wildlife Institute of India,,,,
Wildlife Preservation Trust International,,,,
Willamette University,,,,
Williams College,,,,
WL Delft Hydraulics,,,,
Woods Hole Oceanographic Institution,,,,
World Resources Institute,,,,
World Wildlife Fund,,,,
Wrcoclaw U,Wrcoclaw University,,,
WSL Institute for Snow and Avalanche Research SFL,Swiss Federal Research Institute for Forest Snow and Landscape Research,,,Swiss Federal Institute WSL
Xishuangbanna Tropical Botanical Garden,Chinese Academy of Sciences,Xishuangbanna Tropical Botanical Garden,,
XiteBio Technologies Inc,,,,
Yale School of Forestry and Environmental Studies,Yale University,School of Forestry and Environmental Studies,,
Yale University,,,,
Yokohama National University,,,,
York University,,,,
Zoological Museum,University of Oslo,Natural History Museum,,
Zoological Society of London,,,,
Zoological Society of San Diego,,,,
