"","INST","COUNTRY"
"7763","National Museums Scotland","Scotland"
"7770","University of Aberdeen","Scotland"
"7787","University of Edinburgh","Scotland"
"7800","University of Saint Andrews","Scotland"
"7805","University of Stirling","Scotland"
"7806",NA,"Scotland"
"7809","National University of Singapore","Singapore"
"7832","Singapore Botanic Gardens","Singapore"
"7836",NA,"Singapore"
"7839","Center of Biological and Ecological Sciences","Slovakia"
"7840","Institute for Landscape Ecology of Slovak Academy of Sciences","Slovakia"
"7844","University of Nottingham","Slovakia"
"7850","DOUBLE CHECK","South Africa"
"7852","Kruger National Park","South Africa"
"7857","missing","South Africa"
"7867","National Botanical Institute","South Africa"
"7874","North West University","South Africa"
"7876","Percy FitzPatrick Institute of African Ornithology","South Africa"
"7897","Pretoria","South Africa"
"7899","South African National Parks","South Africa"
"7900","Stellenbosch University","South Africa"
"7903","University of Cape Town","South Africa"
"7951","University of KwaZulu Natal","South Africa"
"7957","University of Natal","South Africa"
"7968","University of Orange Free State","South Africa"
"7974","University of Port Elizabeth","South Africa"
"7981","University of Pretoria","South Africa"
"8000","University of Stellenbosch","South Africa"
"8040","University of the Witwatersrand","South Africa"
"8049",NA,"South Africa"
"8071","CISC","Spain"
"8073","Ciudad Universitaria","Spain"
"8074","Consejo Superior de Investigaciones Cientificas","Spain"
"8084","CSIC","Spain"
"8098","CSIC Institut Mediterrani dEstudis Avencats","Spain"
"8099","Donana Biological Station","Spain"
"8105","Estacion Biologica Donana","Spain"
"8108","IMEDEA","Spain"
"8111","INGENIO","Spain"
"8114","Instituto de Ciencias del Mar CSIC","Spain"
"8115","Instituto de Recursos Naturalesand Agrobiologia","Spain"
"8120","Instituto mediterraneo de Estudios Avanzados (IMEDEA)","Spain"
"8121","Instituto Mediterraneo de Estudios Avanzados (IMEDEA)","Spain"
"8123","Madrid","Spain"
"8128","missing","Spain"
"8141","National Museum of Natural Sciences","Spain"
"8158","Universidad Autonoma","Spain"
"8161","Universidad Complutense","Spain"
"8167","Universidad de Alicante","Spain"
"8179","Universidad De La Laguna","Spain"
"8189","Universidad de Vigo","Spain"
"8192","Universidad Politecnica de Madrid","Spain"
"8216","Universidad Rey Juan Carlos","Spain"
"8221","Universitat Pompeu Fabra","Spain"
"8223","University of Alicante","Spain"
"8225","University of Barcelona","Spain"
"8226","University of Rey Juan Carlos","Spain"
"8231","University of Vigo","Spain"
"8234","University Pompeu Fabra","Spain"
"8235","Vigo","Spain"
"8245",NA,"Spain"
"8288","University of Peradeniya","Sri Lanka"
"8293","Beijer International Institute of Ecological Economics","Sweden"
"8295","CEC Lund","Sweden"
"8296","Evolutionary Biology Centre","Sweden"
"8298","Lund University","Sweden"
"8364","missing","Sweden"
"8378","Royal Swedish Academy of Agriculture and Forestry","Sweden"
"8380","Rutgers University","Sweden"
"8385","SLU","Sweden"
"8387","Stockholm International Peace Research Institute","Sweden"
"8391","Stockholm Resilience Centre","Sweden"
"8392","Stockholm University","Sweden"
"8439","Swedish Agricultural University","Sweden"
"8440","Swedish University of Agricultural Sciences","Sweden"
"8523","Umea University","Sweden"
"8538","University of Agricultural Sciences","Sweden"
"8539","University of Illinois","Sweden"
"8551","University of Lund","Sweden"
"8572","University of Stockholm","Sweden"
"8573","University of Umea","Sweden"
"8584","University of Uppsala","Sweden"
"8616","University of Wisconsin Madison","Sweden"
"8621","Uppsala University","Sweden"
"8654","Westing Associates","Sweden"
"8655",NA,"Sweden"
"8803","Amsterdam","Switzerland"
"8806","ART Research Station","Switzerland"
"8811","ART Research Stationn","Switzerland"
"8812","Eidgenossiche Technische Hochschule (ETH) Zurich","Switzerland"
"8814","ETH Zurich","Switzerland"
"8838","Fachstelle fur Pflanzenschutz","Switzerland"
"8842","Free University Amsterdam","Switzerland"
"8846","International Union for Conservation of Nature and Natural Resources","Switzerland"
"8847","Swiss Federal Institute for Forest Snow and Landscape Research","Switzerland"
"8859","Swiss Federal Institute of Technology Zurich","Switzerland"
"8860","Swiss Federal Institute WSL","Switzerland"
"8861","Swiss Federal Research Institute","Switzerland"
"8864","Swiss Federal Research Institute WSL","Switzerland"
"8885","Systematisches Geobotanisches Institut und Botanischer Garten","Switzerland"
"8888","Universit‚ de Lausanne","Switzerland"
"8891","Universite de Lausanne","Switzerland"
"8895","University of Basel","Switzerland"
"8902","University of Bern","Switzerland"
"8918","University of Fribourg","Switzerland"
"8921","University of Georgia","Switzerland"
"8928","University of Neuchatel","Switzerland"
"8929","University of Oldenburg","Switzerland"
"8936","University of Potsdam","Switzerland"
"8939","University of Zurich","Switzerland"
"8964","University of Zurich Irchel","Switzerland"
"8981","USDA Cooperative State Research Education and Extension Service (CSREES)","Switzerland"
"8982","Vrije Universiteit","Switzerland"
"8991","WSL Institute for Snow and Avalanche Research SFL","Switzerland"
"8992","Zurich","Switzerland"
"9002",NA,"Switzerland"
"9129","National Taipei University","Taiwan"
"9134","Africa Plant Seeds International","Tanzania"
"9140","University of Dar Es Salaam","Tanzania"
"9142","Ministry of technology environment and sciences","Thailand"
"9146","Institut National Scientifique et Technnique d Oceanographie et de Peche","Tunisia"
"9147","Budongo Conservation Field Station","Uganda"
"9150","Makarere University","Uganda"
"9153","","United Kingdom"
"9158","Aberdeen University","United Kingdom"
"9161","Bangor University","United Kingdom"
"9180","Birdlife International","United Kingdom"
"9189","Blackwell Publishing","United Kingdom"
"9192","Blackwell Science Ltd","United Kingdom"
"9199","Bournemouth University","United Kingdom"
"9201","Boyal Botanic Gatdens Edinburgh","United Kingdom"
"9203","British Antarctic Survey","United Kingdom"
"9210","British Trust for Ornithology","United Kingdom"
"9217","Brookhaven National Laboratory","United Kingdom"
"9222","Cambridge University","United Kingdom"
"9225","Cardiff University","United Kingdom"
"9231","Carnegie Institution","United Kingdom"
"9236","CEH Banchory","United Kingdom"
"9237","Centre for Ecology and Hydrology","United Kingdom"
"9273","Chris Britton Consultancy Balfor Beatty","United Kingdom"
"9275","Commonwealth Secretariat","United Kingdom"
"9280","Cranfield University","United Kingdom"
"9287","double check","United Kingdom"
"9299","DOUBLE CHECK","United Kingdom"
"9318","Durham University","United Kingdom"
"9319","EcoScience Scotland","United Kingdom"
"9323","English Nature","United Kingdom"
"9333","Forestry Comission Northern Research Station","United Kingdom"
"9337","Forestry Commission","United Kingdom"
"9357","Imperial College","United Kingdom"
"9370","Imperial College London","United Kingdom"
"9375","Imperial College Silwood Park","United Kingdom"
"9414","Imperial University","United Kingdom"
"9419","Institute of Science and Technology","United Kingdom"
"9421","Institute of Terrestrial Ecology","United Kingdom"
"9435","International Institute of Tropical Agriculture","United Kingdom"
"9441","IUCN Conservation Centre","United Kingdom"
"9443","Journal of Tropical Ecology","United Kingdom"
"9455","Kings College","United Kingdom"
"9478","Kings College London","United Kingdom"
"9479","Lancaster University","United Kingdom"
"9486","Landcaster University","United Kingdom"
"9487","Liverpool John Moores University","United Kingdom"
"9488","LTS International Ltd","United Kingdom"
"9495","Macaulay Institute","United Kingdom"
"9509","Macaulay Land Use Research Institute","United Kingdom"
"9513","Manchester Metropolitan University","United Kingdom"
"9517","Marshall Agroecology","United Kingdom"
"9518","Merlewood Research Station","United Kingdom"
"9522","missing","United Kingdom"
"9705","Monks Wood Experiment Station","United Kingdom"
"9737","National Audobon Society","United Kingdom"
"9738","Natural Environment Research Council","United Kingdom"
"9757","Natural History Museum","United Kingdom"
"9809","Natural History Museum London","United Kingdom"
"9819","New York Botanical Garden","United Kingdom"
"9821","Newcastle University","United Kingdom"
"9823","no one by this name","United Kingdom"
"9826","Notre Dame University","United Kingdom"
"9833","Open University","United Kingdom"
"9839","Oxford University","United Kingdom"
"9855","Plymouth Marine Laboratory","United Kingdom"
"9856","Plymouth University","United Kingdom"
"9862","Portland State University","United Kingdom"
"9863","Retired No Affiliation Listed","United Kingdom"
"9872","Rothamsted Research","United Kingdom"
"9873","Rothamsted Research North Wyke Research","United Kingdom"
"9877","Royal Botanic Garden Edinburgh","United Kingdom"
"9886","Royal Botanic Gardens","United Kingdom"
"9900","Royal Botanic Gardens Kew","United Kingdom"
"9904","Royal Holloway","United Kingdom"
"9905","Royal Holloway University of London","United Kingdom"
"9906","Royal Society for the Protection of Birds","United Kingdom"
"9910","Royal Society for the Protection of Bitds","United Kingdom"
"9911","Scottish Agricultural College","United Kingdom"
"9912","Scottish Natural Heritage","United Kingdom"
"9914","Southampton Oceanographic Centre","United Kingdom"
"9915","University College","United Kingdom"
"9919","University College London","United Kingdom"
"9927","University College of North Wales","United Kingdom"
"9950","University College of North West Bangor","United Kingdom"
"9956","University Marine Biological Station Millport","United Kingdom"
"9957","University of Aberdeen","United Kingdom"
"10001","University of Birmingham","United Kingdom"
"10023","University of Bristol","United Kingdom"
"10028","University of Buenos Aires","United Kingdom"
"10030","University of Cambridge","United Kingdom"
"10078","University of Cape Town","United Kingdom"
"10080","University of Connecticut","United Kingdom"
"10081","University of Dundee","United Kingdom"
"10082","University of East Anglia","United Kingdom"
"10105","University of East Angolia","United Kingdom"
"10106","University of Edinburgh","United Kingdom"
"10162","University of Essex","United Kingdom"
"10177","University of Exeter","United Kingdom"
"10190","University of Exeter Cornwall","United Kingdom"
"10194","University of Exeter Penryn","United Kingdom"
"10196","University of Georgia","United Kingdom"
"10197","University of Lancaster","United Kingdom"
"10200","University of Leeds","United Kingdom"
"10203","University of Leichester","United Kingdom"
"10209","University of Liverpool","United Kingdom"
"10258","University of Manchester","United Kingdom"
"10270","University of Newcastle upon Tuyne","United Kingdom"
"10271","University of Nottingham","United Kingdom"
"10281","University of Oxford","United Kingdom"
"10426","University of Plymouth","United Kingdom"
"10427","University of Sheffield","United Kingdom"
"10481","University of Southampton","United Kingdom"
"10500","University of St. Andrews","United Kingdom"
"10513","University of Stirling","United Kingdom"
"10534","University of Strathclyde","United Kingdom"
"10547","University of Sussex","United Kingdom"
"10593","University of T_bingen","United Kingdom"
"10594","University of Ulster Jordanstown","United Kingdom"
"10596","University of Wales","United Kingdom"
"10609","University of York","United Kingdom"
"10648","Universtity of Southampton","United Kingdom"
"10651","Univesity of Sterling","United Kingdom"
"10655","Unviersity of Birmingham","United Kingdom"
"10656","Utah State University","United Kingdom"
"10665","York University","United Kingdom"
"10669","Zoological Society of London","United Kingdom"
"10673",NA,"United Kingdom"
"12504","Facultad de Agronomia","Uruguay"
"12511","Academy of Natural Science Philadelphia","USA"
"12515","Agrium Advanced Technologies","USA"
"12517","Alaska Department of Fish and Game","USA"
"12520","American Museum of Natural History","USA"
"12530","Amherst","USA"
"12535","Analytics Iowa Soybean Association","USA"
"12542","Antioch New England Graduate School and National University of Rwanda","USA"
"12543","Appalachian Environmental Laboratory","USA"
"12544","Appalachian State University","USA"
"12547","Applied Biomathematics","USA"
"12552","Archbold Biological Station","USA"
"12566","Archipelago Consulting","USA"
"12569","Arete Assicuates","USA"
"12570","Argonne National Laboratory","USA"
"12576","Arizona","USA"
"12595","Arizona State University","USA"
"12695","Arizona State University West Campus","USA"
"12696","Arizona State University-West Campus","USA"
"12699","ASA CSSA SSSA","USA"
"12705","Auburn University","USA"
"12747","BASF Plant Science","USA"
"12750","Bayer CropScience","USA"
"12756","Baylor University","USA"
"12767","BBL Inc.","USA"
"12769","Bennington College","USA"
"12779","Berea College","USA"
"12786","Bethesda","USA"
"12790","Binghamton University State University of New York","USA"
"12791","Bodega Marine Laboratory","USA"
"12804","Boston University","USA"
"12827","Boston University Marine Program","USA"
"12831","Botanical Society of America","USA"
"12836","Bowdoin College","USA"
"12838","Bowling Green State University","USA"
"12840","Brigham Young University","USA"
"12854","British Antarctic Survey","USA"
"12856","Brookhaven National Laboratory","USA"
"12857","Brown University","USA"
"12876","California","USA"
"12900","California Academy of Sciences","USA"
"12901","California State University","USA"
"12903","California State University Dominguez Hills","USA"
"12908","California State University Fresno","USA"
"12912","California State University-Bakersfield","USA"
"12918","Calyx, Inc.","USA"
"12920","Carnegie Institution of Washington","USA"
"12922","Carnegie Museum of Natural History","USA"
"12924","Carthage College","USA"
"12928","Cary Institute of Ecosystem Studies","USA"
"12973","Case Western Reserve University","USA"
"12974","Center for Humans and Nature","USA"
"12976","Center of Biological and Ecological Sciences","USA"
"12981","Centre National de la Recherche Scientifique","USA"
"12987","Chicago","USA"
"12992","Chinese Academy of Sciences","USA"
"12993","Christopher Newport University","USA"
"12994","Clark University","USA"
"13002","Clemson University","USA"
"13036","CLEREL","USA"
"13042","Climate Corporation","USA"
"13044","Colgate University","USA"
"13046","College of New Jersey","USA"
"13053","College of Staten Island CUNY","USA"
"13059","College of the Atlantic","USA"
"13065","College of William and Mary","USA"
"13069","Colorado","USA"
"13082","Colorado Cooperative Fish and Wildlife Unit","USA"
"13085","Colorado Division of Wildlife","USA"
"13086","Colorado State University","USA"
"13256","Columbia Universily","USA"
"13259","Columbia University","USA"
"13273","Conservation International","USA"
"13277","Conservation Science Partners","USA"
"13279","Consortium for Conservation Medicine","USA"
"13280","Cornell University","USA"
"13441","CUNY Lehman College","USA"
"13444","Dartmouth","USA"
"13446","Dartmouth College","USA"
"13488","Dauphin Island Sea Lab","USA"
"13489","Davis","USA"
"13492","Delaware State University","USA"
"13497","Denison University","USA"
"13498","Desert Research Institute","USA"
"13500","Division of Reptiles and Amphibians Smithsonian Institution Washington DC","USA"
"13501","Dow AgroSciences","USA"
"13507","Drexel University","USA"
"13513","Duke University","USA"
"13624","DuPont Pioneer","USA"
"13625","East Carolina University","USA"
"13630","Eastern Illinois University","USA"
"13636","Eastern Michigan University","USA"
"13639","EcoAdapt","USA"
"13644","EcoHealth Alliance","USA"
"13647","Ecosystems Center","USA"
"13653","Emory University","USA"
"13654","Entrix","USA"
"13655","Environmental Defense Fund","USA"
"13664","Environmental Protection Agency","USA"
"13678","Evergreen State College","USA"
"13688","Evolution And Marine Biology University of California","USA"
"13691","Farmers Edge","USA"
"13698","Farmers Rice Cooperative","USA"
"13700","Ferrum College","USA"
"13713","Field Museum of Natural History","USA"
"13725","Florida","USA"
"13747","Florida Dept. of Natural Resources Bureau of Marine Research","USA"
"13748","Florida Institute of Technology","USA"
"13764","Florida International University","USA"
"13791","Florida State U","USA"
"13795","Florida State University","USA"
"13870","Fordham University","USA"
"13872","Fort Lewins College","USA"
"13876","Fort Valley State University","USA"
"13882","Franklin and Marshall","USA"
"13883","Gainesville College","USA"
"13884","George Mason University","USA"
"13913","Georgia Experiment Station","USA"
"13915","Georgia Institute of Technology","USA"
"13922","Georgia Southern University","USA"
"13933","Georgia State University","USA"
"13935","Grass Genomics Testing Inc.","USA"
"13937","Grinnell College","USA"
"13939","Hampton University","USA"
"13940","Harvard University","USA"
"14026","Harvard University Arnold Arboretum","USA"
"14032","Hawaii","USA"
"14040","Holy Cross College","USA"
"14044","Horizon Ag LLC","USA"
"14047","Hunter College CUNY","USA"
"14050","Idaho State University","USA"
"14056","Illinois","USA"
"14064","Illinois Natural History Survey","USA"
"14081","Illinois State University","USA"
"14093","Indiana","USA"
"14103","Indiana University","USA"
"14179","Indiana University/Purdue University Fort Wayne","USA"
"14182","Institute of Ecosystem Studies","USA"
"14184","Intelligent Solutions Group (ISG)","USA"
"14188","International Crane Foundation","USA"
"14205","International Institute of Tropical Forestry","USA"
"14217","International Plant Nutrition Institute","USA"
"14224","Iowa State University","USA"
"14371","Jacklin Seed","USA"
"14373","John Carroll University","USA"
"14374","Kansas Department of Wildlife Parks and Tourism","USA"
"14375","Kansas State University","USA"
"14468","Kenyon College","USA"
"14486","Kewalo Marine Lab","USA"
"14487","Klamath Center for Conservation Research","USA"
"14488","L C Lee and Associates Inc.","USA"
"14491","Lake Forest College","USA"
"14495","Lakehead University","USA"
"14499","Lancaster University","USA"
"14504","Landolakes","USA"
"14507","Lehman College CUNY","USA"
"14511","Leibniz Centre for Agricultural Landscape Research","USA"
"14514","LGL Ecological Research Associates","USA"
"14515","Louisiana State University","USA"
"14625","LTS International Ltd","USA"
"14626","Maine","USA"
"14632","Manomet Observatory","USA"
"14634","Marine Biological Laboratory","USA"
"14640","Marshall University","USA"
"14650","Meadowcreek Project","USA"
"14652","Merlewood Research Station","USA"
"14663","Miami University","USA"
"14676","Michigan State University","USA"
"14783","Michigan Technological University","USA"
"14805","Middlebury College","USA"
"14812","Millbrook","USA"
"14820","Miller Research LLC","USA"
"14826","Milwaukee Public Museum","USA"
"14829","Minnesota","USA"
"14835","missing","USA"
"14920","Mississippi State","USA"
"14922","Mississippi State University","USA"
"14948","Missouri Botanical Garden","USA"
"14971","Moline Technology Innovation Center","USA"
"14975","Monsanto","USA"
"14990","Montana","USA"
"14994","Montana State University","USA"
"15033","Monterey Bay Aquarium Research Institute","USA"
"15035","Moss Landing Marine Laboratories","USA"
"15042","Mount Holyoke College","USA"
"15053","NASA Ames Research Center","USA"
"15056","National Audobon Society","USA"
"15058","National Biological Survey","USA"
"15059","National Center for Atmospheric Research","USA"
"15065","National Center for Ecological Analysis and Synthesis","USA"
"15076","National Council for Air and Stream Improvement","USA"
"15089","National Fish and Wildlife Forensics Laboratory","USA"
"15097","National Institute of Food and Agriculture","USA"
"15099","National Marine Fisheries Service","USA"
"15117","National Museum of Natural History Smithsonian Institution","USA"
"15134","National Park Service","USA"
"15135","National University of Rosario","USA"
"15141","Natural History Museum","USA"
"15153","Nature Conservancy","USA"
"15169","NBS Northern Prarie Science Center","USA"
"15170","Nebraska","USA"
"15171","Nebraska Game and Parks Commission","USA"
"15172","New College of Florida","USA"
"15173","New England Aquarium","USA"
"15177","New England Wild Flower Society","USA"
"15187","New Mexico Fish and Wildlife Conservation Office","USA"
"15188","New Mexico State University","USA"
"15215","New York Botanical Garden","USA"
"15217","New York University","USA"
"15225","New York Zoological Society","USA"
"15232","no one by this name","USA"
"15233","NOAA","USA"
"15241","NoInst","USA"
"15245","North Carolina","USA"
"15254","North Carolina A & T State University","USA"
"15258","North Carolina Agricultural and Technical State University","USA"
"15264","North Carolina State University","USA"
"15312","North Dakota State University","USA"
"15342","Northeast Fisheries Science Center","USA"
"15343","Northeastern University","USA"
"15355","Northern Arizona University","USA"
"15384","Northern Illinois University","USA"
"15389","Northwest Marine Technology Inc.","USA"
"15390","Northwestern University","USA"
"15393","Notre Dame","USA"
"15398","Oak Ridge National Laboratory","USA"
"15419","Oberlin College","USA"
"15438","Ohio","USA"
"15464","Ohio State University","USA"
"15534","Ohio University","USA"
"15555","Ohio University-Main Campus","USA"
"15556","Ohio Wesleyan U","USA"
"15557","Oklahoma Museum of Natural History","USA"
"15561","Oklahoma State University","USA"
"15618","Oklahoma University","USA"
"15619","Old Dominion University","USA"
"15624","Oregon State University","USA"
"15791","Oregon Trail","USA"
"15793","Pacific Northwest National Laboratory","USA"
"15794","Pacific S.W. Research Station US Forest Service","USA"
"15795","Paso Pacifico","USA"
"15799","Penn State University","USA"
"15815","Pennsylvania","USA"
"15816","Pennsylvania State University","USA"
"15850","Pepperdine","USA"
"15852","Pepperdine University","USA"
"15870","Philadelphia","USA"
"15871","Pioneer Hi Bred Intl Inc.","USA"
"15873","Pittsburgh","USA"
"15875","Plant Sciences Department","USA"
"15877","Pomona College","USA"
"15880","Portland State U","USA"
"15884","Portland State University","USA"
"15889","Potash Corp","USA"
"15895","Prescott College","USA"
"15898","Princeton University","USA"
"15933","Providence College","USA"
"15934","Purdue University","USA"
"15981","Queens University","USA"
"15982","Rensselaer Polytechnic Institute","USA"
"15984","Research and Development MWRDGC","USA"
"15991","Rice Research and Extension Center","USA"
"15992","Rice University","USA"
"16005","Riverside","USA"
"16034","Rose Hulman Institute of Technology","USA"
"16036","Rosepine Research Station","USA"
"16037","Royal Botanic Gardens Kew","USA"
"16038","Rutgers University","USA"
"16120","Samuel Roberts Noble Foundation","USA"
"16132","San Diego State University","USA"
"16153","San Francisco State University","USA"
"16171","Santa Cruz","USA"
"16181","Santa Fe Institute","USA"
"16184","Savannah River Ecology Laboratory","USA"
"16190","School of Environment and Nat Resources","USA"
"16191","School of Plant Environmental and Soil Sciences","USA"
"16198","Scotts Miracle Gro","USA"
"16202","Scripps Institution of Oceanography","USA"
"16206","Seattle WA","USA"
"16212","Smith College","USA"
"16224","Smithsonian Environmental Research Center","USA"
"16228","Smithsonian Institution","USA"
"16229","Smithsonian Migratory Bird Center","USA"
"16244","Smithsonian National Museum of Natural History","USA"
"16267","Smithsonian Tropical Research Institute","USA"
"16271","Soil Health Institute","USA"
"16273","South Dakota State University","USA"
"16312","South Florida","USA"
"16324","Southeast Missouri State University","USA"
"16328","Southern Illinois University","USA"
"16370","Southwest Missouri State University","USA"
"16373","Southwest Res. Ext. Center","USA"
"16375","Southwest Texas State University","USA"
"16381","St. Louis University","USA"
"16389","Stanford University","USA"
"16509","State University of New York Binghamton","USA"
"16516","State University of New York College of Environmental Science and Forestry","USA"
"16535","State University of New York Stony Brook","USA"
"16548","Stony Brook University","USA"
"16566","STRI","USA"
"16575","Sundance Ranch L.L.C.","USA"
"16578","SUNY","USA"
"16634","Syngenta Crop Protection Inc.","USA"
"16641","Syngenta Seeds Inc.","USA"
"16647","Syracuse","USA"
"16648","Syracuse University","USA"
"16681","Tall Timber Research Station","USA"
"16684","Tall Timbers Research Station","USA"
"16687","Temple Inland Forest","USA"
"16694","Tennessee","USA"
"16697","Texas A and M University","USA"
"16796","Texas Parks and Wildlife Department","USA"
"16797","Texas State University","USA"
"16814","Texas Tech University","USA"
"16831","Tidewater Agricultural Res and Ext Ctr","USA"
"16837","Tijuana Estuarine Research Reserve","USA"
"16838","Truman State","USA"
"16839","Tufts","USA"
"16846","Tufts University","USA"
"16849","Tulane","USA"
"16854","Tulane University","USA"
"16858","Unity College","USA"
"16862","Universidad de Concepcion","USA"
"16863","Universite Laval Quebec","USA"
"16864","University College London","USA"
"16865","University of Akron","USA"
"16875","University of Akron Wayne College","USA"
"16879","University of Alabama","USA"
"16884","University of Alabama in Huntsville","USA"
"16895","University of Alaska","USA"
"16914","University of Alaska Anchorage","USA"
"16915","University of Alaska Fairbanks","USA"
"16917","University of Alberta","USA"
"16920","University of Arizona","USA"
"17003","University of ArKansas","USA"
"17024","University of Arkansas Little Rock","USA"
"17036","University of Bonn","USA"
"17038","University of Buffalo","USA"
"17040","University of California","USA"
"17107","University of California At Los Angeles","USA"
"17133","University of California Merced","USA"
"17137","University of California Santa Diego","USA"
"17146","University of California-Berkeley","USA"
"17258","University of California-Davis","USA"
"17614","University of California-Irvine","USA"
"17651","University of California-Los Angeles","USA"
"17697","University of California-Riverside","USA"
"17761","University of California-San Diego","USA"
"17796","University of California-Santa Barbara","USA"
"17883","University of California-Santa Cruz","USA"
"17980","University of Central ArKansas","USA"
"17983","University of Central Florida","USA"
"17992","University of Chicago","USA"
"18043","University of Cincinnati","USA"
"18046","University of Colorado Boulder","USA"
"18127","university of Connecticut","USA"
"18128","University of Connecticut","USA"
"18270","University of Delaware","USA"
"18276","University of Florida","USA"
"18503","University of Georgia","USA"
"18617","University of Georgia Athens","USA"
"18619","University of Georgia Marine Institute","USA"
"18623","University of Guelph","USA"
"18629","University of Hawaii","USA"
"18643","University of Hawaii Hilo","USA"
"18647","University of Hawaii Manoa","USA"
"18654","University of Helsinki","USA"
"18659","University of Houston","USA"
"18666","University of Idaho","USA"
"18724","University of Illinois","USA"
"18875","University of Illinois Chicago","USA"
"18895","University of Illinois Urbana Champaign","USA"
"18919","University of Iowa","USA"
"18954","University of Kansas","USA"
"19039","University of Kentucky","USA"
"19102","University of Louisville","USA"
"19105","University of Maine","USA"
"19133","University of Maryland","USA"
"19216","University of Maryland Center for Environmental Science","USA"
"19217","University of Massachusetts","USA"
"19251","University of Massachusetts Amherst","USA"
"19286","University of Massachusetts-Boston","USA"
"19297","University of Melbourne","USA"
"19299","University of Miami","USA"
"19301","University of Michigan","USA"
"19358","University of Minnesota","USA"
"19482","University of Minnesota Crookston","USA"
"19494","University of Minnesota Duluth","USA"
"19516","University of Mississippi","USA"
"19523","University of Missouri Columbia","USA"
"19597","University of Missouri St. Louis","USA"
"19600","University of Missouri-St. Louis","USA"
"19642","University of Montana","USA"
"19688","University of Nebraska","USA"
"19763","University of Nevada","USA"
"19775","University of Nevada Reno","USA"
"19804","University of Nevada-Las Vegas","USA"
"19829","University of New Hampshire","USA"
"19833","University of New Mexico","USA"
"19883","University of New Orleans","USA"
"19886","University of New York","USA"
"19887","University of North Carolina","USA"
"19914","University of North Carolina Chapel Hill","USA"
"19972","University of North Carolina Greensboro","USA"
"19974","University of North Carolina Wilmington","USA"
"19979","University of North Dakota","USA"
"20005","University of North Dakota Grand Forks","USA"
"20008","University of North Texas","USA"
"20020","University of Notre Dame","USA"
"20030","University of of ArKansas","USA"
"20034","University of of Connecticut","USA"
"20041","University of of Minnesota","USA"
"20044","University of of Mississippi","USA"
"20045","University of of Montana","USA"
"20049","University of of Oklahoma","USA"
"20053","University of Oklahoma","USA"
"20078","University of Oregon","USA"
"20117","University of Pennsylvania","USA"
"20131","University of Pittsburgh","USA"
"20157","University of Puerto Rico","USA"
"20163","University of Queensland","USA"
"20169","University of Regina","USA"
"20172","University of Rhode Island","USA"
"20205","University of Rochester","USA"
"20223","University of Sao Paulo","USA"
"20228","University of Sheffield","USA"
"20233","University of Sherbrooke","USA"
"20234","University of South Carolina","USA"
"20240","University of South Carolina-Aiken","USA"
"20244","University of South Carolina-Columbia","USA"
"20258","University of South Dakota","USA"
"20259","University of South Florida","USA"
"20277","University of Southampton","USA"
"20279","University of Southwestern Louisiana","USA"
"20282","University of Tennessee","USA"
"20373","University of Texas","USA"
"20423","University of Texas Arlington","USA"
"20427","University of Texas Austin","USA"
"20444","University of Texas El Paso","USA"
"20445","University of Toledo","USA"
"20455","University of Toronto","USA"
"20460","University of Tulsa","USA"
"20463","University of Uppsala","USA"
"20469","University of Utah","USA"
"20570","University of Vermont","USA"
"20620","University of Virginia","USA"
"20658","University of Washington","USA"
"20766","University of Washington Seattle","USA"
"20768","University of Western Ontario","USA"
"20769","University of Wisconsin","USA"
"20895","University of Wisconsin Eau Claire","USA"
"20897","University of Wisconsin Madison","USA"
"20928","University of Wisconsin Parkside","USA"
"20931","University of Wisconsin River Falls","USA"
"20933","University of Wisconsin-Milwaukee","USA"
"20943","University of Wyoming","USA"
"21002","University Oregon","USA"
"21004","University System of Maryland","USA"
"21005","Universityof Wisconsin Milwaukee","USA"
"21006","UNL","USA"
"21010","US Arid Land Agricultural Research Center","USA"
"21011","US Army","USA"
"21013","US Department of Agriculture","USA"
"21342","US Environmental Protection Agency","USA"
"21358","US Fish & Wildlife Service-National Wetlands Research Center","USA"
"21360","US Fish and Wildlife Service","USA"
"21372","US Forest Service","USA"
"21534","US Forest Service USDA","USA"
"21540","US Forest Service-Pacific Southwest Research Station","USA"
"21560","US Forest Service-Rocky Mountain Research Station","USA"
"21562","US Forest Service-Southern Research Station","USA"
"21582","US Geological Society","USA"
"21583","US Geological Survey","USA"
"21644","US Geological Survey and University of California Santa Barbara","USA"
"21653","US Geological Survey Great Lakes Science Center","USA"
"21654","US Geological Survey Northern Prairie Wildlife Research Center","USA"
"21655","US Geological Survey Patuxent Wildlife Research Center","USA"
"21656","US Geological Survey Patuzent","USA"
"21657","US Geological Survey Western Ecological Research Center","USA"
"21664","US Geological Survey/NRII","USA"
"21675","US Naval Research Laboratory","USA"
"21693","USDA Agricultural Research Service","USA"
"21703","USDA ARS","USA"
"21706","USDA Cooperative State Research Education and Extension Service (CSREES)","USA"
"21707","USFWS National Ecology Research Center","USA"
"21709","USFWS Northern Prairie Wildlife Research Center","USA"
"21710","Utah","USA"
"21738","Utah State University","USA"
"21814","Vanderbilt University","USA"
"21828","Vermont","USA"
"21833","versity of Tennessee","USA"
"21834","Villanova University","USA"
"21835","Virginia Commonwealth U","USA"
"21837","Virginia Commonwealth University","USA"
"21838","Virginia Polytechnic Institute and State University","USA"
