"","INST","COUNTRY","count"
"700","James San Jacinto Mountains Reserve","missing",5
"701","Jardin Botanique Nacional de Belgique","Belgium",5
"702","Jawaharial Nehru University","India",27
"703","Jawaharlal Nehru University","India",8
"704","Jawaharlal Nehru University ","India",6
"705","Jena","Germany",5
"706","John Carroll U","USA",1
"707","Journal of Tropical Ecology","UK",12
"708","Kagoshima University","Japan",2
"709","Kansas Department of Wildlife, Parks, and Tourism","USA",1
"710","Kansas State U","missing",4
"711","kansas State University","USA",2
"712","Kansas State University","USA",91
"713","Kansas State University ","USA",2
"714","Kenyon College","USA",18
"715","Kerala Agricultural University","India",25
"716","Kerala Forest Research Institute","India",1
"717","Khorasan Agricultural & Natural Resources Res. Ctr","Iran",3
"718","King's College","UK",3
"719","King'S College","UK",20
"720","King's College London","Finland",1
"721","King's College London","UK",1
"722","Kings Park and Botanic Gardens","Australia",1
"723","Klamath Center for Conservation Research","USA",1
"724","Knoxville","USA",7
"725","Krakow","Poland",10
"726","Kruger National Park","South Africa",5
"727","Kruger National Park","missing",1
"728","Kyoto","Japan",15
"729","Kyoto University","Japan",6
"730","Kyushu University","Japan",29
"731","Kyushu Unniversity","Japan",1
"732","L C Lee & Associates, Inc.","USA",3
"733","La Trobe University","Australia",37
"734","Laboratoire Arago","France",5
"735","Laboratoire Associe de Modelisation des Plantes<a0>(AMAP)","France",4
"736","Laboratorio di Geologia Marina del C.N.R.","Italy",1
"737","Lake Forest College","USA",4
"738","Lakehead University","Canada",1
"739","Lakehead University","USA",4
"740","Lancaster","England",11
"741","Lancaster University","UK",6
"742","Lancaster University","USA",5
"743","Landcare Research","New Zealand",40
"744","Landcare Research , Lincoln","New Zealand",1
"745","Landcare Research Manaaki Whenua","New Zealand",1
"746","Landcaster University","UK",1
"747","Landolakes","USA",3
"748","Lanzhou University","China",3
"749","LaTrobe University","Australia",4
"750","Laval University","Canada",3
"751","Lehman College","USA",4
"752","Lehman College-CUNY","USA",3
"753","Lehrstuhl fur Landschaftsokologie der Technischen Universitat Munchen","Germany",1
"754","Leibniz-Centre for Agricultural Landscape Research","Germany",4
"755","Leibniz-Centre for Agricultural Landscape Research","USA",3
"756","Leibniz-Institut fur Meereswissenschaften, IFMGEOMAR","Germany",1
"757","Leiden University","Netherlands",12
"758","Leuphana University of Luneburg","Germany",2
"759","LGL Ecological Research Associates","USA",1
"760","Lincoln University","New Zealand",2
"761","Liverpool John Moores University","UK",1
"762","Los Alamos National Laboratory","missing",2
"763","Louisiana State","USA",10
"764","Louisiana State U","missing",29
"765","Louisiana State U & U Federal du Roraima","missing",2
"766","Louisiana State Univeristy","USA",8
"767","Louisiana State University","USA",68
"768","Lousiana State University","United States",9
"769","LSA Associates","missing",5
"770","LTS International Ltd","UK",7
"771","LTS International Ltd","USA",1
"772","Luminy Universite d' Aix-Marseille","France",1
"773","Lund University","Sweden",66
"774","Lundy Environmental Consulting","missing",3
"775","Lyme Regis","UK",5
"776","Macaulay Land Use Research Institute","UK",5
"777","Machigan State University","USA",1
"778","Macquarie University","Australia",12
"779","Madrid","Spain",5
"780","Maine","USA",6
"781","Makarere University","Uganda",3
"782","Mammal Research Institute (University of Pretoria)","South Africa",8
"783","Manaaki Whenua Landcare Research","New Zealand",2
"784","Manchester Metropolitan University","UK",4
"785","Manomet Observatory","USA",2
"786","Marine Biological Laboratory","USA",6
"787","Marine Parks Center of Japan","Japan",2
"788","Marshall Unin","USA",1
"789","Marshall University","USA",9
"790","Martin Luther University","Germany",1
"791","Massey","New Zealand",2
"792","Massey U","missing",5
"793","Massey University","New Zealand",6
"794","Max F. Perutz Laboratories","Austria",3
"795","Max Planck Institute for Chemical Ecology","Germany",5
"796","Max Planck Institute for Demographic Research","Australia",2
"797","Max Planck Institute for Ornithology","missing",4
"798","Max Planck University","Germany",5
"799","Max-Planck-Institut fur Verhaltensphysiologie","Germany",1
"800","McGill University","Canada",34
"801","McKendree U","missing",6
"802","Meadowcreek Project","USA",2
"803","Memorial Uni of Newfoundland","Canada",1
"804","Merlewood Research Station","UK",4
"805","Merlewood Research Station","USA",11
"806","Metropolitan Water Reclamation District of Greater Chicago","USA",7
"807","Miami U","USA",6
"808","Miami University","USA",7
"809","Michigan State U","missing",21
"810","Michigan State University","United States",2
"811","Michigan State University","USA",88
"812","Michigan State University ","USA",3
"813","Michigan Technological University","USA",22
"814","Middlebury College","USA",7
"815","Mighican State University","USA",8
"816","Millbrook","USA",8
"817","Miller Research LLC","USA",6
"818","Milwaukee Public Museum","USA",3
"819","Ministry of Agriculture of the USSR","Russia",2
"820","Ministry of technology, environment and sciences","Thailand",4
"821","Ministry of the Environment","Italy",8
"822","Ministry of the Environment","ITALY",1
"823","Minnesota","USA",6
"824","Minnesota Pollution Control Agency","missing",4
"825","missing","Argentina",1
"826","missing","Australia",39
"827","missing","Brazil",2
"828","missing","Canada",47
"829","missing","China",1
"830","missing","Denmark",7
"831","missing","England",2
"832","missing","France",4
"833","missing","Germany",41
"834","missing","Greece",7
"835","missing","India",1
"836","missing","Japan",2
"837","missing","Netherlands",19
"838","missing","New Zealand",32
"839","missing","South Africa",10
"840","missing","Spain",13
"841","missing","Sweden",14
"842","missing","UK",183
"843","missing","United States",85
"844","missing","missing",208
"845","Mississippi State Univ.","USA",6
"846","Mississippi State University","USA",22
"847","Missouri Botanical Garden","United States",20
"848","Missouri Botanical Gardens","USA",3
"849","Missouri Department of Conservation","missing",1
"850","Missouri State University","USA",3
"851","Moi University","Kenya",9
"852","Moline Technology Innovation Center","USA",4
"853","Monash","Australia",3
"854","Monash University","Australia",27
"855","Monash University","Malaysia",3
"856","Monks Wood","England",6
"857","Monks Wood Experiment Station","UK",32
"858","Monsanto","USA",7
"859","Monsanto Company","USA",8
"860","Montana","USA",4
"861","Montana State","USA",1
"862","Montana State University","USA",38
"863","Monterey Bay Aquarium Research Institute (MBARI)","USA",2
"864","Montpellier","France",3
"865","Moscow State University","Russia",3
"866","Mount Holyoke College","USA",4
"867","Mount Makulu Research Station ","Zambia",4
"868","Mount St. Vicent Unviersity","Canada",1
"869","MPI - Jena","Germany",7
"870","Mt Holyoke College","USA",7
"871","Murdoch University","Australia",9
"872","Museo De La Plata","Argentina",8
"873","Museo Paleontologico Egidio Feruglio","Argentina",5
"874","Museum d'Histoire Naturelle","France",8
"875","Museum fur Naturkunde","Germany",1
"876","Museum National d'Histoire","France",17
"877","Museum National d'Histoire Naturelle","France",7
"878","Museum National d'Histoire Naturelle","missing",7
"879","Museum National dHistoire Naturelle","France",2
"880","Museum of New Zealand Te Papa Tongarewa","missing",1
"881","N.B.S. N. Prairie Wildlife Research Center","USA",1
"882","Nanjing Agricultural University","China",4
"883","Nanjing Forestry University","China",12
"884","NASA Ames Research Center","USA",3
"885","National Audobon Society","UK",1
"886","National Audobon Society","USA",2
"887","National Audubon Society","missing",1
"888","National Autonomous university of Mexico","Mexico",2
"889","National Aviary","missing",10
"890","National Biological Survey","USA",1
"891","National Botanical Institute","South Africa",7
"892","National Center for Agriculture and Veterinary Biotechnology","Ireland",5
"893","National Center for Atmospheric Research","USA",6
"894","National Center for Ecological Analysis and Synthesis","United States",5
"895","National Center for Ecological Analysis and Synthesis","USA",3
"896","National Centre for Biological Sciences","India",1
"897","National Council for Air and Stream Improvement","USA",13
"898","National Fish and Wildlife Forensics Laboratory","USA",8
"899","National Institute for Agronomic Research","France",6
"900","National Institute of Food and Agriculture","USA",2
"901","National Institute of Water and Atmospheric Research","New Zealand",1
"902","National Institute Of Water And Atmospheric Research","New Zealand",7
"903","National Marine Fisheries Service","USA",18
"904","National Museum of Natural History","USA",5
"905","National Museum Of Natural History, Smithsonian Institution","United States",17
"906","National Museum of Natural Sciences","Spain",8
"907","National Museum Of Natural Sciences","Spain",9
"908","National Museums Scotland","Scotland",7
"909","National Natural History Museum, Paris","France",7
"910","National Oceanic and Atmospheric Administration","USA",8
"911","National Park Service","USA",1
"912","National Park Service Inventory e Monitoring Program","missing",3
"913","National Taipei University","Taiwan",5
"914","National U of Singapore","missing",5
"915","National University of Ireland","Ireland",1
"916","National University of Rosario","Argentina",1
"917","National University of Rosario","USA",6
"918","National University of Singapore","China",7
"919","National University of Singapore","Singapore",23
"920","Natural Environment Research Council","UK",19
"921","Natural History Museum","UK",13
"922","Natural History Museum","USA",8
"923","Natural History Museum, UK","missing",8
"924","Natural Resources Institute U of Manitoba","missing",2
"925","Naturhistorisches Museum Wien","Austria",1
"926","Naval Research Laboratory DC","USA",18
"927","NBS Northern Prarie Science Center","USA",1
"928","NC Agricultural & Technical State University","USA",6
"929","Nebraska","USA",1
"930","Nebraska Game and Parks Commission","USA",1
"931","Nederlands Institut voor Onderzoek der Zee","Netherlands",1
"932","NERI","Denmark",4
"933","Netherlands Institute of Ecology","Netherlands",25
"934","Netherlands Institute of Ecology; Wageningen University and Research Centre ","The Netherlands",4
"935","Netherlands Institute of Ecology; Wageningen University and Research Centre The Netherlands Institute of Ecology","The Netherlands",1
"936","Netherlands Institute of Technology","Netherlands",1
"937","Neuchatel","Switzerland",1
"938","New College of the University of South Florida","USA",1
"939","New England Aquarium","USA",4
"940","New England Wild Flower Society","USA",10
"941","New Mexico Fish and Wildlife Conservation Office","USA",1
"942","New Mexico State U","missing",3
"943","New Mexico State University","USA",22
"944","New South Wales Evironment and Conservation","Australia",1
"945","New South Wales National Parks and Wildlife Service","Australia",6
"946","New York Botanical Garden","UK",2
"947","New York Botanical Garden","United States",2
"948","New York University","USA",8
"949","New York Zoological Society","USA",7
"950","New Zealand Research Centre for Urban Ecology","New Zealand",3
"951","Newfoundland","Canada",1
"952","Newfoundland Forestry Center","Canada",4
"953","NIOZ & Groningen","Netherlands",4
"954","no one by this name","Finland",1
"955","No one by this name","Australia",1
"956","No one by this name","Canada",1
"957","No one by this name","Finland",4
"958","No one by this name","New Zealand",1
"959","No one by this name","UK",3
"960","No one by this name","USA",1
"961","North Arizona University","USA",3
"962","North Carolina","USA",9
"963","North Carolina A&T State University","USA",4
"964","North Carolina State University","United States",3
"965","North Carolina State University","USA",42
"966","North Central Research Station","missing",3
"967","North Dakota State","USA",2
"968","North Dakota State U","missing",4
"969","North Dakota State University","USA",28
"970","North-West University","South Africa",2
"971","Northeast Fisheries Science Center","USA",1
"972","Northeastern University","USA",5
"973","Northeastern University ","USA",7
"974","Northern Arizona University","USA",24
"975","Northern Illinois University","United States",5
"976","Northern Praire Wildlife Research Center","missing",3
"977","northern Prairie Wildlife Research Center","missing",1
"978","Northern Prairie Wildlife Research Center","missing",26
"979","Northern Territory University","Australia",7
"980","Northwest Marine Technology Inc.","USA",1
"981","Norwegian University of Science and Technology","Norway",3
"982","Notre Dame","USA",5
"983","Notre Dame University","UK",7
"984","Oak Ridge National Laboratory","Germany",11
"985","Oak Ridge National Laboratory","USA",19
"986","Obafemi Awolowo University","Nigeria",5
"987","Oberlin College","USA",19
"988","Ohio ","USA",20
"989","Ohio Northern U","missing",8
"990","Ohio State","USA",26
"991","Ohio State U","missing",7
"992","Ohio State University","Netherlands",5
"993","Ohio State University","United States",3
"994","Ohio State University","USA",27
"995","Ohio u","USA",1
"996","Ohio University","United States",2
"997","Ohio University","USA",14
"998","Ohio University ","USA",11
"999","Ohio Wesleyan U","USA",1
"1000","Ohio Wesleyan U","missing",5
"1001","Oklahoma Mus Nat His","USA",4
"1002","Oklahoma State","USA",5
"1003","Oklahoma State U","missing",9
"1004","Oklahoma State University","USA",52
"1005","Old Dominion U","missing",7
"1006","Old Dominion University","USA",3
"1007","Old Dominion University ","USA",2
"1008","Ontario Ministry of Natural Resources","missing",9
"1009","Open University","UK",4
"1010","Open Unversity","UK",2
"1011","Oregan State University","USA",3
"1012","Oregon State","USA",16
"1013","Oregon State U","missing",4
"1014","Oregon State University","USA",148
"1015","Oregon Trail","USA",2
"1016","Organization for Tropical Studies","Costa Rica",8
"1017","ORNL","USA",2
"1018","Osaka City University","Japan",7
"1019","Pacific Northwest National Laboratory","USA",1
"1020","Pacific Rim Conservation","missing",1
"1021","Pacific S.W. Research Station- U.S. Forest Service","USA",1
"1022","Palacky U","missing",5
"1023","Paso Pacifico","USA",2
"1024","Paso Pacifico ","Nicaragua",4
"1025","Paso Pacifico ","USA",2
"1026","Paul Sabatier University","France",1
"1027","Peking University","China",3
"1028","Pekinn","China",1
"1029","Penn State U","missing",4
"1030","Pennsylvania State University","Costa Rica",4
"1031","Pennsylvania State University","United States",3
"1032","Pennsylvania State University","USA",47
"1033","People and Nature Consulting International","Indonesia",2
"1034","Pepperdine","USA",2
"1035","Pepperdine University","USA",18
"1036","Percy Fitzpatrick Institute","missing",2
"1037","Percy FitzPatrick Institute of African Ornithology","South Africa",21
"1038","PhiIipps-University Marburg","Germany",6
"1039","Philadelphia","USA",1
"1040","Philipps-University","Germany",3
"1041","Pioneer Hi-Bred Int'l Inc.","USA",2
"1042","Pittsburgh","USA",2
"1043","Plymouth","England",16
"1044","Plymouth University","UK",6
"1045","Point Blue Conservation","missing",2
"1046","Polish Academy of Science","Poland",8
"1047","Polish Academy of Sciences","Poland",3
"1048","Pomona College","USA",3
"1049","Pondicherry University","India",4
"1050","Ponteficio Collegio Irlandese","Italy",1
"1051","Pontificia Universidad Catolica de Chile","Chile",10
"1052","Pontificia Universidad Católica de Chile","Chile",3
"1053","Portland State U","USA",4
"1054","Portland State U","missing",7
"1055","Portland State University","USA",3
"1056","Potash Corp","USA",6
"1057","Prairie Wildlife Research Center","missing",1
"1058","Prescott College","USA",3
"1059","Pretoria","South Africa",2
"1060","Princeton","USA",1
"1061","Princeton University","USA",32
"1062","Providence College","USA",1
"1063","Punjab Agricultural University","India",7
"1064","Purdue University","Germany",1
"1065","Purdue University","USA",45
"1066","Queen's U","Canada",5
"1067","Queen's U","missing",1
"1068","Queen's University","Canada",10
"1069","Queen's University","USA",1
"1070","Queen's University Kingston","Canada",1
"1071","Queens College City U of New York","missing",5
"1072","Queens University of Belfast","N. Ireland",5
"1073","Queensland","Australia",10
"1074","Radboud University Nijmegen","Netherlands",19
"1075","Rangeland Ecosystem Science Center","missing",5
"1076","Reading","England",13
"1077","Regina","Canada",8
"1078","Rensselaer Poly ","USA",2
"1079","Research Institute for Agrobiology and Soil Fertility","The Netherlands",1
"1080","Research Institute for Nature Management","Netherlands",11
"1081","Retired, No Affiliation Listed","UK",9
"1082","Rice Research & Extension Center","USA",1
"1083","Rice University","Canada",2
"1084","Rice University","USA",11
"1085","Riso DTU National Laboratory for Sustainable Energy","Denmark",5
"1086","Riverina College of Advanced Education","Australia",3
"1087","Riverside","USA",29
"1088","Rochester Institute of Technology","missing",5
"1089","Rocky Mountain Research Station","missing",5
"1090","Roosevelt U The Field Museum","missing",3
"1091","Roscoff Marine Station- UPMC","France",1
"1092","Rose-Hulman Institute of Technology","USA",2
"1093","Roskilde University","Denmark",10
"1094","Rothamsted Research","England",1
"1095","Rothamsted Research-North Wyke Research","UK",4
"1096","Royal Botanic Garden Edinburgh","UK",9
"1097","Royal Botanic Gardens Kew","UK",18
"1098","Royal Botanic Gardens Kew","USA",1
"1099","Royal Botanic Gardens, Melbourne ","Australia",3
"1100","Royal Botanic Gardens, Melbourne University of Melbourne","Australia",1
"1101","Royal Holloway University of London","England",2
"1102","Royal Holloway, University of London","UK",1
"1103","Royal Ontario Museum","missing",3
"1104","Royal Swedish Academy of Agriculture and Forestry","Sweden",2
"1105","Royal Veterinary and Agricultural University","Denmark",9
"1106","Royal Veterinary&Agricultural University","Denmark",2
"1107","Russian Academy of Sciences","Czech Republic",1
"1108","Russian Academy of Sciences","Russia",4
"1109","Russian Academy of Sciences Siberian Branch","Russia",5
"1110","Rutgers U","USA",1
"1111","Rutgers Univeristy","USA",3
"1112","Rutgers University","Sweden",5
"1113","Rutgers University","United States",4
"1114","Rutgers University","USA",67
"1115","Sackville","Canada",7
"1116","Salzburg University","Germany",1
"1117","San Diego State University","USA",21
"1118","San Francisco State University","USA",15
"1119","Santa Cruz","USA",10
"1120","Santa Fe Institute","USA",3
"1121","Santiago","Chile",4
"1122","Saskatchewan","Canada",8
"1123","Savannah River Ecology Laboratory","USA",6
"1124","School of Biological Sciences","Australia",1
"1125","School of Environment & Nat Resources","USA",1
"1126","School of Environmental Science","Australia",4
"1127","School of Plant Environmental & Soil Sciences","USA",7
"1128","School of Renewable Resources Louisiana State U","missing",4
"1129","Science Academy of the USSR","Russia",1
"1130","Scotts Miracle Gro","USA",4
"1131","Scripps Institute of Oceanography","USA",9
"1132","Scripps Institution  of Oceanography","California",1
"1133","Seattle, WA","USA",6
"1134","Seconda Universita","Italy",4
"1135","SEIDENSTZICKER& Kleiman = Smithsonian National Zoological Park, Labandeira: Smithsonian National Museum of Natural History","USA",1
"1136","SEIDENSTZICKER& Kleiman = Smithsonian National Zoological Park, Labandeira: Smithsonian National Museum of Natural History","missing",10
"1137","Senckenberg Research Institute Frankfurt","missing",5
"1138","Seoul","Republic of Korea",3
"1139","Shahid Beheshti University","Iran",2
"1140","Shahid Beheshti University","IRAN",1
"1141","Shandong Academy of Agricultural Sciences","China",7
"1142","Simon Fraser U","missing",4
"1143","Simon Fraser University","Australiatralia",2
"1144","Simon Fraser University","Canada",31
"1145","Simon Fraser University","Canada",3
"1146","Singapore Botanic Gardens","Singapore",4
"1147","Smith College","United States",1
"1148","Smith College","USA",7
"1149","Smithsonian","USA",18
"1150","Smithsonian","missing",1
"1151","Smithsonian Environmental Research Center","United States",2
"1152","Smithsonian Environmental Research Center","USA",2
"1153","Smithsonian Migratory Bird Center","United States",3
"1154","Smithsonian Migratory Bird Center","USA",12
"1155","Smithsonian Migratory Bird Center","missing",3
"1156","Smithsonian National Museum of Natural History","USA",12
"1157","Smithsonian National Zoological Park","USA",31
"1158","Smithsonian Tropical Research Institute","Panama",20
"1159","Smithsonian Tropical Research Institute","USA",13
"1160","Smithsonian Tropical Research Institute","missing",4
"1161","Snake River Field Station","missing",5
"1162","Soil Health Institute ","USA",2
"1163","South African National Parks","South Africa",1
"1164","South Dakota State University","USA",39
"1165","South Florida","USA",12
"1166","South Pacific Fertilizers Ltd.","Fiji",4
"1167","Southampton Oceanographic Centre","UK",1
"1168","Southeast Missouri State University","USA",4
"1169","Southeastern Louisiana","missing",1
"1170","Southern Cross University","Australia",8
"1171","Southern Illinois U","missing",6
"1172","Southern Illinois University","United States",5
"1173","Southern Illinois University","USA",37
"1174","Southwest Texas State University","USA",6
"1175","St. de Pytosociologie Fondamental","France",2
"1176","St. Lawrence Centre","Canada",4
"1177","St. Louis University","USA",8
"1178","Stanford","USA",31
"1179","Stanford University","USA",81
"1180","State University of New York","USA",27
"1181","State University of New York at Stony Brook","USA",12
"1182","State University of New York Binghamton","USA",5
"1183","State University of New York College of Environmental Science and Forestry","United States",1
"1184","State University of New York College of Environmental Science and Forestry","USA",19
"1185","State University of New York Stony Brook","United States",13
"1186","State University of New York Stony Brook","USA",5
"1187","State University of New York-Binghamton","USA",2
"1188","Station D'Etudes des Gorilles et Chimpanzes (SEGC)","Gabon",16
"1189","Stazione Zoologica ""Anton Dohrn""","Italy",8
"1190","Stazione Zoologica ""Anton Dohrn""","missing",2
"1191","Stazione Zoologica di Napoli Villa Acquario","Italy",1
"1192","Stazione Zoologica di Napoli Villa Comunale","Italy",1
"1193","Stellenbosch University","South Africa",3
"1194","Stockholm International Peace Research Institute","Sweden",4
"1195","Stockholm University","Sweden",47
"1196","Stony Brook U","missing",2
"1197","Sundance Ranch L.L.C.","USA",3
"1198","SUNY","USA",29
"1199","Swedish Agricultural University","Sweden",1
"1200","Swedish University of Agricultural Sciences","Sweden",82
"1201","Swiss Federal Institute for Forest, Snow and Landscape Research","Switzerland",12
"1202","Swiss Federal Research Institute for Forest Snow and Landscape Research","Denmark",5
"1203","Swiss Federal Research Institute for Forest Snow and Landscape Research","Switzerland",10
"1204","Swiss Federal Research Institute Wsl","Switzerland",5
"1205","Sydney","Australia",5
"1206","Syngenta Crop Protection Inc","USA",5
"1207","Syngenta Crop Protection Inc.","USA",2
"1208","Syngenta Seeds, Inc.","USA",6
"1209","Syracuse University","USA",30
"1210","Systematisches Geobotanisches Institut und Botanischer Garten","Switzerland",3
"1211","Tabor College","missing",1
"1212","Tall Timber Research Station","USA",2
"1213","Tall Timber Research Station ","USA",1
"1214","Tall Timbers Research Station","USA",3
"1215","Tall Timbers Research Station","missing",4
"1216","Tartu","Estonia",10
"1217","Tartu University","Estonia",5
"1218","Technical University of Dresden","Germany",12
"1219","Technion-Israel Institute of Technology","Israel",1
"1220","Technion, Israel Institute of Technology","Israel",2
"1221","Technische Universitat Darmstadt","Germany",2
"1222","Tel Aviv University","Israel",16
"1223","Temple-Inland Forest","USA",7
"1224","Tennessee","USA",3
"1225","Tetra Tech EBA","missing",2
"1226","Tetra Tech EC Inc","missing",8
"1227","Tetratech Environmental Consulting Inc","missing",5
"1228","Texas A&M","USA",17
"1229","Texas A&M Univ.","USA",1
"1230","Texas A&M University","United States",4
"1231","Texas A&M University","USA",75
"1232","Texas Christian U","missing",3
"1233","Texas Parks and Wildlife Department","USA",1
"1234","Texas State","USA",2
"1235","Texas State University","United States",4
"1236","Texas State University","USA",8
"1237","Texas Tech","USA",1
"1238","Texas Tech","missing",7
"1239","Texas Tech U","missing",10
"1240","Texas Tech University","Japan",5
"1241","Texas Tech University","USA",11
"1242","Texas Technical University","USA",5
"1243","The Agricultural Institute Osijek","Croatia",4
"1244","The Australian National University","Australia",2
"1245","The Citadel Military College of South Carolina","missing",5
"1246","The Climate Corporation","USA",2
"1247","The College of New Jersey","missing",7
"1248","The Ecosystems Center","USA",6
"1249","The Forestry Commission","UK",20
"1250","The Hebrew University of Jerusalem","Israel",1
"1251","The Macaulay Institute","UK",7
"1252","The Macaulay Land Use Research Institute","UK",4
"1253","The Natural History Museum","England",8
"1254","The Natural History Museum","UK",39
"1255","The Natural History Museum","USA",4
"1256","The Natural History Museum","missing",1
"1257","The Natural History Museum London","UK",10
"1258","The Nature Conservancy","Indonesia",4
"1259","The Nature Conservancy","USA",16
"1260","The Norwegian Institute for Nature Research","Norway",3
"1261","The Ohio State U","missing",7
"1262","The Ohio State University","USA",10
"1263","The Ohio State University ","USA",4
"1264","The Open University","England",10
"1265","The Open University","missing",1
"1266","The Queen's University of Belfast","Northern Ireland",5
"1267","The Queen's University of Belfast","missing",1
"1268","The Royal Society for the Protection of Birds","UK",4
"1269","The Royal Veterinary and Agricultural University","Denmark",3
"1270","The Samuel Roberts Noble Foundation","USA",12
"1271","The U of Adelaide","missing",4
"1272","The U of Auckland","missing",3
"1273","The U of British Columbia","missing",3
"1274","The U of Georgia","missing",3
"1275","The U of Kansas","missing",4
"1276","The U of Queensland","missing",4
"1277","The University of Akron Wayne College","USA",4
"1278","The University Of Alabama","United States",2
"1279","The University of Auckland","New Zealand",5
"1280","The University of Manchester","UK",1
"1281","The University of Melbourne","Australia",2
"1282","The University of the Sunshine","Australia",1
"1283","The University of Urbino","Italy",3
"1284","The University of Waikato","Australia",1
"1285","The University of Waikato","New Zealand",1
"1286","The Unversity Of Melbourne","Australia",8
"1287","Thompson Rivers University","Canada",7
"1288","Tidewater Agricultural Res & Ext Ctr","USA",6
"1289","Tijuana Estuarine Research Reserve","USA",1
"1290","Tohoku University","Japan",25
"1291","Tokaigakuen University","Japan",5
"1292","Tokaigakuen University","missing",1
"1293","Tokyo University of Agriculture","Japan",2
"1294","Toronto","Canada",3
"1295","Tour du Valat","France",2
"1296","Trent U","missing",10
"1297","Trent University ","Canada",12
"1298","Trier University","Germany",3
"1299","Trinity College Botanic Garden","Ireland",9
"1300","Trinity U","missing",7
"1301","Tropenbos International","Netherlands",15
"1302","Tropical Research and Training Center","Costa Rica",2
"1303","Tropical Savannas Management Cooperative Research Centre and CSIRO Sustainable Ecosystems","Australia",3
"1304","Truman State","USA",1
"1305","TU Dresden","Germany",3
"1306","Tufts","USA",7
"1307","Tufts University","USA",3
"1308","Tulane","USA",5
"1309","Tulane U","missing",3
"1310","Tulane University","USA",4
"1311","U Arizona","USA",5
"1312","U Autonoma del Estado de HIdalgo","missing",5
"1313","U Autonoma del Estado Hidalgo","missing",2
"1314","U British Colombia","Canada",21
"1315","U Calgary","Canada",3
"1316","U California Berkeley","USA",11
"1317","U California Davis","USA",46
"1318","U California Irvine","USA",11
"1319","U California Los Angeles","USA",8
"1320","U California Riverside","USA",20
"1321","U California San Diego","USA",6
"1322","U California Santa Barbara","USA",23
"1323","U California Santa Cruz","USA",5
"1324","U Chicago","USA",2
"1325","U Colorado","USA",6
"1326","U Connecticut","USA",53
"1327","U de Antioquia","missing",5
"1328","u de Buenos Aires","missing",2
"1329","U de Buenos Aires","missing",4
"1330","U de los Andes","missing",10
"1331","U de Vila Velha ","missing",2
"1332","U Delhi","India",1
"1333","U Florida","USA",8
"1334","U Freiburg","Germany",11
"1335","U Georgia","USA",21
"1336","U Guelph","USA",6
"1337","U Illinois","USA",2
"1338","U Illinois Urbana Champaign","missing",1
"1339","U Iowa","USA",10
"1340","U Kansas","Usa",20
"1341","U Kansas","USA",6
"1342","U Kentucky","USA",1
"1343","U Manchester","UK",3
"1344","U Maryland","USA",8
"1345","U Massachusetts","USA",1
"1346","U Michigan","USA",1
"1347","U Nacional Autonoma de Mexico","missing",5
"1348","U Nacional de Misiones CONICET","missing",3
"1349","U of Alaska","missing",5
"1350","U of ALaska","missing",1
"1351","U of Alaska Fairbanks","missing",3
"1352","U of Alaska Museum","missing",5
"1353","U of Alberta","missing",2
"1354","U of Arizona","missing",3
"1355","U of Arkansas","USA",4
"1356","U of British Columbia","missing",2
"1357","U of California","missing",7
"1358","U of California Berkeley","missing",3
"1359","U of California Davis","missing",11
"1360","U of California Riverside","missing",5
"1361","U of California San Diego","missing",2
"1362","U of California Santa Cruz","missing",3
"1363","U of Canterbury","missing",4
"1364","U of Central Arkansas","missing",1
"1365","U of Chicago","missing",3
"1366","U of Colorado Boulder","missing",5
"1367","U of Colorado Denver","missing",3
"1368","U of Connecticut","USA",7
"1369","U of Connecticut","missing",3
"1370","U of Dayton","missing",4
"1371","U of Delaware","missing",5
"1372","U of Exeter","missing",4
"1373","U of Georgia","missing",1
"1374","U of Illinois","missing",2
"1375","U of Illinois at Urbana Champaign","missing",2
"1376","U of Illinois Urbana Champaign","missing",2
"1377","U of Kansas","missing",4
"1378","U of Maine","missing",7
"1379","U of Manitoba","Canada",5
"1380","U of Manitoba","missing",3
"1381","U of Maryland","missing",5
"1382","U of Maryland Baltimore County","missing",2
"1383","U of Massachusetts","missing",6
"1384","U of Massachusetts Amherst","missing",5
"1385","U of Michigan Dearborn","missing",5
"1386","U of Minnesota","USA",3
"1387","U of Minnesota","missing",11
"1388","U of Mississippi","USA",1
"1389","U of Mississippi","missing",10
"1390","U of Montana","USA",4
"1391","U of Montana","missing",12
"1392","U of Nebraska at Omaha","missing",4
"1393","U of nevada","missing",2
"1394","U of Nevada","missing",5
"1395","U of Nevada Reno","missing",3
"1396","U of Northern British Columbia","missing",3
"1397","U of Northern Colorado","missing",5
"1398","U of Oklahoma","USA",4
"1399","U of Oklahoma","missing",9
"1400","U of Rhode Island","missing",3
"1401","U of Saskatchewan","missing",5
"1402","U of South Dakota","missing",10
"1403","U of Southern Mississippi","missing",7
"1404","U of Tennessee","missing",1
"1405","U of Victoria","missing",7
"1406","U of Washington","missing",7
"1407","U of Windsor","missing",3
"1408","U of Wisconsin","missing",3
"1409","U of Wisconsin Milwaukee","missing",1
"1410","U of Wisconsin Parkside","missing",5
"1411","U of Wyoming","missing",9
"1412","U Oklahoma","USA",15
"1413","U Ottawa","Canada",2
"1414","U Oxford","UK",10
"1415","U Pierre et Marie Curie","missing",1
"1416","U Simon Bolivar","missing",5
"1417","U South Carolina","USA",3
